,the,to,of,in,and,said,a,s,for,oil,mln,u,on,that,from,at,it,is,by,tonnes
reuters-topics/grain/article579.txt,39,12,8,13,7,4,11,0,3,0,0,0,5,2,3,0,3,8,3,0
reuters-topics/grain/article545.txt,13,9,9,1,4,2,4,1,2,0,1,1,2,2,1,1,2,0,0,2
reuters-topics/grain/article223.txt,8,6,2,4,0,4,1,4,1,0,3,3,0,1,3,0,1,0,1,3
reuters-topics/grain/article237.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article551.txt,8,4,3,8,0,1,5,2,1,0,0,0,1,3,0,0,3,2,4,0
reuters-topics/grain/article009.txt,7,5,4,1,1,3,2,1,3,0,0,1,0,0,1,0,0,1,0,2
reuters-topics/grain/article021.txt,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reuters-topics/grain/article035.txt,0,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article196.txt,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article182.txt,6,2,5,6,3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
reuters-topics/grain/article169.txt,6,6,5,2,5,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0
reuters-topics/grain/article155.txt,5,4,3,0,0,3,2,9,2,0,0,6,0,0,1,1,0,0,0,1
reuters-topics/grain/article141.txt,11,6,7,6,1,5,7,7,2,0,13,1,1,6,2,4,0,3,0,9
reuters-topics/grain/article394.txt,8,3,2,2,1,3,0,2,3,0,4,2,2,3,1,0,0,2,1,3
reuters-topics/grain/article380.txt,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
reuters-topics/grain/article419.txt,11,9,7,4,3,8,7,10,2,0,0,9,1,4,1,0,5,0,2,0
reuters-topics/grain/article431.txt,7,3,3,1,3,0,1,2,4,0,3,2,0,0,0,0,0,2,0,2
