,0
reuters-topics/grain/article579.txt,"  (0, 18)	0.08942219077487991
  (0, 17)	0.24974095199317514
  (0, 16)	0.0893318851916818
  (0, 14)	0.09098125690395184
  (0, 13)	0.0661446144543388
  (0, 12)	0.1473952369191153
  (0, 8)	0.07206387900375862
  (0, 6)	0.25127150194833914
  (0, 5)	0.08461706175987199
  (0, 4)	0.15056715210565075
  (0, 3)	0.2932809289241755
  (0, 2)	0.16834813213214983
  (0, 1)	0.24836754814981463
  (0, 0)	0.7829895065501206"
reuters-topics/grain/article545.txt,"  (0, 19)	0.18854556121705063
  (0, 16)	0.13988629970404082
  (0, 15)	0.06938177539071216
  (0, 14)	0.07123453928800345
  (0, 13)	0.15536544440175057
  (0, 12)	0.13848520654662316
  (0, 11)	0.07160046272197412
  (0, 10)	0.07915391511324545
  (0, 8)	0.11284603872990011
  (0, 7)	0.052896757150057
  (0, 6)	0.2146201450907708
  (0, 5)	0.09937745886604475
  (0, 4)	0.20209339958842626
  (0, 3)	0.0529907923171977
  (0, 2)	0.44485734630131246
  (0, 1)	0.4375382804586513
  (0, 0)	0.6130482108564531"
reuters-topics/grain/article223.txt,"  (0, 19)	0.3602101479362798
  (0, 18)	0.08917279210573999
  (0, 16)	0.08908273838499425
  (0, 14)	0.2721825299887677
  (0, 13)	0.09894020548825565
  (0, 11)	0.2735806995710491
  (0, 10)	0.30244194865829027
  (0, 8)	0.07186289270090855
  (0, 7)	0.2694867467983776
  (0, 6)	0.06833746506169955
  (0, 5)	0.25314319381553174
  (0, 3)	0.26996581645486906
  (0, 2)	0.12590895664088592
  (0, 1)	0.37151227584099966
  (0, 0)	0.48049584446055904"
reuters-topics/grain/article237.txt,
reuters-topics/grain/article551.txt,"  (0, 18)	0.3411933042145345
  (0, 17)	0.17866777502986636
  (0, 16)	0.25563655522314854
  (0, 13)	0.28392406612804155
  (0, 12)	0.08435870471434101
  (0, 8)	0.06874052396487441
  (0, 7)	0.12888891248511986
  (0, 6)	0.32684136264341723
  (0, 5)	0.06053609563646681
  (0, 3)	0.516472159086304
  (0, 2)	0.18065751306562133
  (0, 1)	0.2369136331781275
  (0, 0)	0.45961879448175963"
reuters-topics/grain/article009.txt,"  (0, 19)	0.3288044402102579
  (0, 17)	0.1278736551330441
  (0, 14)	0.1242258511048388
  (0, 11)	0.12486398466306153
  (0, 8)	0.29518816318207597
  (0, 7)	0.09224660878460174
  (0, 6)	0.18713794217403615
  (0, 5)	0.25995639611758325
  (0, 4)	0.08810762594056139
  (0, 3)	0.09241059663078702
  (0, 2)	0.34479392856878294
  (0, 1)	0.42390145929046574
  (0, 0)	0.5756661301384789"
reuters-topics/grain/article021.txt,"  (0, 4)	0.5065542479269566
  (0, 3)	0.531293174422484
  (0, 1)	0.4874245165813012
  (0, 0)	0.4728083093122627"
reuters-topics/grain/article035.txt,"  (0, 11)	0.28233661845081215
  (0, 10)	0.9363647055045256
  (0, 7)	0.20858372939226083"
reuters-topics/grain/article196.txt,"  (0, 11)	0.8043120970923119
  (0, 7)	0.5942070770959963"
reuters-topics/grain/article182.txt,"  (0, 16)	0.12632421503479402
  (0, 12)	0.12505895893983782
  (0, 5)	0.2692282126977228
  (0, 4)	0.27375043289514644
  (0, 3)	0.5742395294782476
  (0, 2)	0.446364537110734
  (0, 1)	0.1756082696162738
  (0, 0)	0.5110271205121463"
reuters-topics/grain/article169.txt,"  (0, 17)	0.36561830419141583
  (0, 14)	0.11839614910105542
  (0, 12)	0.11508542995059214
  (0, 5)	0.08258569897966422
  (0, 4)	0.41986444548466434
  (0, 3)	0.17614785779141226
  (0, 2)	0.4107666903959954
  (0, 1)	0.4848102059139351
  (0, 0)	0.47027239295064044"
reuters-topics/grain/article155.txt,"  (0, 19)	0.12254097307138449
  (0, 15)	0.09018626813505956
  (0, 14)	0.09259459309779089
  (0, 11)	0.5584214436665496
  (0, 8)	0.1466835209903905
  (0, 7)	0.6188231689447233
  (0, 6)	0.13948756603115633
  (0, 5)	0.19376447420240844
  (0, 2)	0.19275005907267836
  (0, 1)	0.2527717558783161
  (0, 0)	0.3064899858160505"
reuters-topics/grain/article141.txt,"  (0, 19)	0.483314899814518
  (0, 17)	0.12530901910372136
  (0, 15)	0.15809085839558254
  (0, 14)	0.08115625032681022
  (0, 13)	0.2655076531138884
  (0, 12)	0.03944343643333742
  (0, 11)	0.040786570210601274
  (0, 10)	0.5861612581150859
  (0, 8)	0.06428174772441472
  (0, 7)	0.2109251884941042
  (0, 6)	0.21394881745531558
  (0, 5)	0.14152372587066853
  (0, 4)	0.028780179338431737
  (0, 3)	0.18111441651598179
  (0, 2)	0.19709592941462412
  (0, 1)	0.16615987399455456
  (0, 0)	0.29549172254373757"
reuters-topics/grain/article394.txt,"  (0, 19)	0.37965440927792726
  (0, 18)	0.09398636852551129
  (0, 17)	0.19686594244571143
  (0, 14)	0.09562501059514575
  (0, 13)	0.3128430902101507
  (0, 12)	0.18590208451761503
